"name","lat","lon","radius_m","supermarkets","aeon_drugstores","HHI_pre","HHI_post","dHHI","share_aeon","share_tsuruha","party_share","exceeds_safeharbor","tier"
"スマート ウエルネス株式会社",35.415263599999996,133.241499,2000,9,0,774,774,0,0,9.1,9.1,FALSE,"セーフハーバー内"
"ツルハドラッグ 向能代店",40.2229339,140.03121629999998,2000,9,2,896,1025,129,19.7,3.3,23,FALSE,"セーフハーバー内"
"ツルハドラッグ 能代花園店",40.19969220000001,140.02320469999998,2000,14,2,454,470,16,7.5,1.1,8.6,FALSE,"セーフハーバー内"
"ツルハドラッグ 能代北店",40.227235,140.02452499999998,2000,5,1,973,1129,156,15.3,5.1,20.4,FALSE,"セーフハーバー内"
"ツルハドラッグ 能代二ツ井店",40.207982799999996,140.23443079999998,2000,3,0,1622,1622,0,0,4.4,4.4,FALSE,"セーフハーバー内"
"ツルハドラッグ 鷹巣店",40.23047510000001,140.3765901,2000,6,1,626,633,7,1.9,1.9,3.8,FALSE,"セーフハーバー内"
"ツルハドラッグ 大館南店",40.2467064,140.5716124,2000,1,0,2232,2232,0,0,8.5,8.5,FALSE,"セーフハーバー内"
"ツルハドラッグ 鹿角店",40.2009577,140.7933308,2000,2,0,1177,1177,0,0,4.3,4.3,FALSE,"セーフハーバー内"
"ツルハドラッグ 大館中道店",40.282455999999996,140.554949,2000,13,1,380,429,48,6,4,10,FALSE,"セーフハーバー内"
"ツルハドラッグ 大館店",40.2741354,140.53812449999998,2000,10,1,526,538,11,1.4,4.1,5.5,FALSE,"セーフハーバー内"
"ツルハドラッグ 大館北店",40.295767,140.559629,2000,5,0,874,1054,181,12.3,7.4,19.6,FALSE,"セーフハーバー内"
"調剤薬局ツルハドラッグ 大館中道店",40.282455999999996,140.554949,2000,13,1,380,429,48,6,4,10,FALSE,"セーフハーバー内"
"ツルハドラッグ 大館東店",40.2872918,140.5833175,2000,5,0,1338,1441,102,16,3.2,19.2,FALSE,"セーフハーバー内"
"ツルハドラッグ 毛馬内店",40.262744,140.7689352,2000,2,1,1946,2016,69,5.9,5.9,11.8,FALSE,"セーフハーバー内"
"ツルハドラッグ 三戸店",40.3976377,141.2633645,2000,5,0,1338,1449,111,17.8,3.1,20.9,FALSE,"セーフハーバー内"
"ツルハドラッグ 福地南部店",40.4676824,141.3880222,2000,3,0,2040,2040,0,0,5.1,5.1,FALSE,"セーフハーバー内"
"ツルハドラッグ 八戸売市店",40.51088920000001,141.4741499,2000,13,2,540,655,115,13.5,4.2,17.8,FALSE,"セーフハーバー内"
"ツルハドラッグ 八戸大杉平店",40.500828,141.48153399999998,2000,15,3,433,496,64,8.4,3.8,12.2,FALSE,"セーフハーバー内"
"ツルハドラッグ 八戸田向店",40.4883285,141.5090927,2000,12,6,595,659,64,13.7,2.3,16,FALSE,"セーフハーバー内"
"ツルハドラッグ 八戸諏訪店",40.5080009,141.512327,2000,17,7,427,518,91,11.1,4.1,15.2,FALSE,"セーフハーバー内"
"ツルハドラッグ 湊高台店",40.5076274,141.5437109,2000,13,5,394,415,21,5.1,2,7.2,FALSE,"セーフハーバー内"
"ツルハドラッグ 八戸市民病院前店",40.4949737,141.5144053,2000,13,6,537,618,81,12.6,3.2,15.8,FALSE,"セーフハーバー内"
"ツルハドラッグ 十八日町店",40.5117681,141.4952374,2000,21,4,474,618,144,14.5,5,19.5,FALSE,"セーフハーバー内"
"ツルハドラッグ 本八戸駅前店",40.517224999999996,141.48737699999998,2000,16,2,568,716,147,16.2,4.6,20.7,FALSE,"セーフハーバー内"
"ツルハドラッグ 八戸小中野店",40.5190816,141.5128082,2000,11,3,584,721,138,11,6.3,17.2,FALSE,"セーフハーバー内"
"ツルハドラッグ 河原木店",40.534297699999996,141.477399,2000,6,1,1150,1363,213,25,4.3,29.3,FALSE,"セーフハーバー内"
"ツルハドラッグ 八戸江陽店",40.523388,141.502139,2000,8,0,930,1317,387,18.6,10.4,29,FALSE,"セーフハーバー内"
"ツルハドラッグ みなと店",40.5141918,141.5355313,2000,17,5,326,347,20,4.1,2.5,6.6,FALSE,"セーフハーバー内"
"ツルハドラッグ 八戸八太郎店",40.537205,141.4893023,2000,5,1,1022,1275,253,16.9,7.5,24.4,FALSE,"セーフハーバー内"
"ツルハドラッグ 弘前樹木店",40.589449599999995,140.45595649999998,2000,7,6,644,740,96,16.8,2.9,19.6,FALSE,"セーフハーバー内"
"ツルハドラッグ 弘前駅前店",40.600974099999995,140.4794351,2000,16,6,292,327,35,5.7,3,8.7,FALSE,"セーフハーバー内"
"ツルハドラッグ 弘前豊原店",40.582235399999995,140.4757201,2000,15,3,392,435,42,7.5,2.8,10.3,FALSE,"セーフハーバー内"
"ツルハドラッグ 弘前外崎店",40.596418899999996,140.49864639999998,2000,19,4,309,336,27,3.6,3.8,7.3,FALSE,"セーフハーバー内"
"ツルハドラッグ 安原店",40.5758502,140.4931915,2000,9,0,700,786,86,8.5,5.1,13.6,FALSE,"セーフハーバー内"
"ツルハドラッグ 城東店",40.602583599999996,140.50640819999998,2000,14,3,422,454,32,3.9,4.1,8,FALSE,"セーフハーバー内"
"ツルハドラッグ 弘前アルカディア店",40.5849572,140.5002005,2000,8,1,711,830,119,11.6,5.2,16.7,FALSE,"セーフハーバー内"
"ツルハドラッグ 平賀店",40.5915694,140.56699079999999,2000,4,1,1014,1112,98,17.1,2.9,20,FALSE,"セーフハーバー内"
"ツルハドラッグ 十和田南店",40.6076264,141.22121420000002,2000,11,2,445,539,94,8.5,5.5,14,FALSE,"セーフハーバー内"
