"name","lat","lon","A_in_2km","competitor_groups_2km","comp_stores_2km","is_competing_shoken","is_concern","category"
"ツルハドラッグ松前調剤薬局",41.4256478,140.0852915,0,0,0,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"ツルハドラッグ",40.5849561,140.5001305,2,18,18,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ",40.511837,141.4952582,10,12,16,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ",40.5171947,141.4874305,7,9,15,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ 八戸市民病院前店",40.4949474,141.5143701,8,9,10,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ 八戸江陽店",40.5234789,141.5019837,4,9,12,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ 八戸小中野店",40.519107,141.5127798,7,11,15,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ 八戸諏訪店",40.5080282,141.5122189,10,15,17,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ",40.5372358,141.4891921,2,6,10,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ",40.5343046,141.4774109,3,9,13,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ 福地南部店",40.467742200000004,141.38808,0,3,3,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"ツルハドラッグ 三戸店",40.3972486,141.2631967,1,4,4,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ",40.2309986,140.3835643,2,8,8,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ 野辺地店",40.8636003,141.1266209,1,2,2,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ",40.514151,141.5354577,4,9,9,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ 十和田店",40.6126826,141.2004666,6,17,20,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ",40.6212889,141.212025,4,17,19,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ",40.6075162,141.2211544,3,19,22,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ",40.7972608,140.7622215,6,7,7,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ",40.8088148,140.7347398,11,7,7,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ",40.8390809,140.7191252,4,10,13,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ",40.8325747,140.711706,4,17,21,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ 八戸大杉平店",40.5008151,141.4816354,5,8,8,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ",40.589518,140.4558015,6,17,22,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ",40.2485617,140.5750727,0,1,1,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"ツルハドラッグ",41.293668,141.2068304,3,14,16,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ",40.8000205,140.4559208,3,17,18,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ",40.510874,141.4741417,6,9,11,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ",40.5915894,140.5669716,1,6,7,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ",40.582259,140.4757072,3,20,28,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ",40.2872797,140.5833731,1,9,9,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ",40.4883212,141.509103,7,7,8,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ",40.5758371,140.4932266,1,10,11,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ",40.6009608,140.4794281,6,29,36,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ",40.6743099,141.372593,4,19,19,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ",40.6884387,141.3888404,2,8,10,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ",40.8020951,140.4612646,3,17,18,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ",40.5076344,141.5437013,4,6,6,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ",40.5964173,140.4985986,3,29,31,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ",40.6025935,140.5063918,2,18,18,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ",40.828807,140.7537777,7,8,9,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ",40.8303826,140.7692647,10,8,8,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ",40.2741621,140.5381375,2,8,8,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ",40.2009697,140.7932907,0,1,1,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"ツルハドラッグ",40.2079992,140.234419,0,2,2,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"ツルハドラッグ",40.6154583,140.4899073,4,25,26,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ",40.2627748,140.7688879,2,1,1,TRUE,TRUE,"懸念:複占化(結合後の競争者1)"
"ツルハドラッグ",40.6198777,140.4587919,2,9,9,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ",40.8087849,140.4424159,1,13,15,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ",40.29629,140.5593387,1,10,11,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ 青森新城店",40.8283415,140.6759884,2,10,11,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ",40.7061455,140.4554109,1,6,7,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ",40.783967,140.4622329,2,13,13,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ",40.8095384,140.4596649,1,16,17,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ",40.6462872,140.6019753,1,8,10,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ",40.8020487,140.4013496,4,6,8,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ",40.7205295,140.589408,1,4,4,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ",40.8089167,140.7707009,16,14,16,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ",40.8125863,140.7823199,10,11,13,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ",40.2270491,140.0247882,2,2,2,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ",40.2823836,140.5551776,2,13,15,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ 西郷店",37.1394431,140.1526457,0,2,3,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"ツルハドラッグ 白河西店",37.1290616,140.1921818,2,11,13,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ",37.1152386,140.2000617,0,14,14,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"ツルハドラッグ 古河諸川店",36.2021264,139.8078499,3,4,5,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ",36.5594036,139.7658981,2,15,24,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ 宇都宮徳次郎店",36.6450926,139.845933,0,0,0,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"ツルハドラッグ 日光板橋店",36.685211,139.7236318,0,5,5,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"ツルハドラッグ 新栃木店",36.3925744,139.7369288,3,13,16,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ黒磯豊浦北町店",36.9779073,140.0409097,4,16,18,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ 日光鬼怒川店",36.8134805,139.7115694,0,0,0,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"ツルハドラッグ",36.81309,139.7112557,0,0,0,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"ツルハドラッグ",36.5551306,139.7465601,1,13,17,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ",36.5442635,139.879128,4,20,23,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ",36.5367371,140.0855632,0,1,1,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"ツルハドラッグ",36.5430126,139.9038117,5,11,15,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ",36.5510259,139.9275792,1,8,11,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ",36.7494909,139.5780497,0,0,0,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"ツルハドラッグ宇都宮東峰町店",36.5405188,139.918765,2,13,18,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ宇都宮簗瀬店",36.5536324,139.8913084,5,16,22,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ",36.6068266,139.8574724,0,4,6,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"ツルハドラッグ",36.60599,139.8464158,0,3,6,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"ツルハドラッグ",36.5908519,139.8230322,0,1,1,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"くすりの福太郎",35.8280891,139.9058564,1,7,19,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"くすりの福太郎",35.8129475,139.9126508,3,5,21,TRUE,FALSE,"競争維持(競争者2グループ以上)"
"ツルハドラッグ",36.0068586,140.1641955,0,10,10,FALSE,FALSE,"重複なし(企業結合の影響なし)"
"ツルハドラッグ",36.0868106,140.0850357,6,10,10,TRUE,FALSE,"競争維持(競争者2グループ以上)"
