name,lat,lon
ドラッグセイムス,35.586727,140.129840
ハッピー 薬局,34.070031,134.571311
ココカラファイン,35.507942,139.445699
ツルハドラッグ,35.544791,140.196183
つるはドラッグ,35.549854,140.173573
マツモトキヨシ,35.548551,140.139386
マツモトキヨシ,35.571818,140.131794
マツモトキヨシ,35.654589,139.331250
セイジョー,35.866741,139.312050
サンドラッグ,35.682472,139.579169
ツルハドラッグ,43.096449,141.429290
,33.773768,130.511543
중앙시장한약국,36.997455,127.084462
동인당한약국,35.173407,128.061909
くすりの福太郎,35.828089,139.905856
スギ薬局,35.381454,136.276786
キリン堂,35.377800,136.273340
ドラッグユタカ,35.393443,136.276194
ドラッグユタカ,35.387226,136.363241
キリン堂,35.456732,136.238360
マツモトキヨシ,35.544904,139.446173
サンドラッグ,35.662094,139.513334
ウェルパーク,35.534973,139.447146
ドラッグセイジョー,35.615605,139.542017
マツモトキヨシ,35.676448,139.644134
ウェルパーク,35.616005,139.563356
welcia,34.590444,135.489291
トモズ,35.800183,139.437723
ウエルシア (WELCIA),35.691953,139.641673
ココカラファイン,35.667823,139.650291
ドラッグイレブン,34.655513,135.523533
ツルハドラッグ,35.529617,139.432822
ドラッグ・ストア,33.575966,130.434645
ツルハドラッグ,39.226504,140.147768
キリン堂,35.379239,136.277708
マツモトキヨシ,35.770191,139.911022
ドラッグユタカ,35.028609,135.778963
ウエルシア,35.473929,139.399335
マツモトキヨシ,35.799036,139.976248
マツモトキヨシ,35.667774,139.562658
ドラッグケイオー,35.654581,139.567247
ココカラファイン,35.636648,139.586477
クスリのナカヤマ,35.618882,139.571160
セイジョー,35.690364,139.653451
大賀薬局,33.569730,130.431995
ツルハドラッグ,35.606264,139.481982
どらっぐぱぱす,35.703182,139.769853
小伝馬町ドラッグ,35.690917,139.778582
ツルハドラッグ 小牛田店,38.542585,141.059763
セイジョー,35.650221,139.685694
レデイ,33.939320,133.323374
ユニバーサルドラッグ,35.710294,139.683609
ドラッグストアコスモス,33.915906,133.161802
薬王堂,39.681355,141.143562
ドラッグストア ダックス,34.863863,135.777610
薬王堂,39.688966,141.118907
Зайчик,43.803709,131.953639
ココカラファイン薬局,35.656345,139.652416
マツモトキヨシ,33.542265,130.428110
大賀薬局　処方箋,33.539434,130.427660
スギドラッグ,35.550753,139.541117
マツモトキヨシ,35.642642,139.652631
ツルハドラッグ,35.742968,139.681795
ドラッグてらしま,36.468407,140.566184
スギ薬局,35.305467,136.761412
マツモトキヨシ,35.855136,139.886518
Золушка,43.802413,131.951539
くすりの福太郎,35.812947,139.912651
welcia,35.580928,139.641072
スギ薬局,35.577247,139.647279
クスリのアオキ,36.052638,136.512819
ドラッグイレブン,33.559044,130.515934
キリン堂,34.402886,135.345636
サンドラッグ,36.171405,139.543909
ぱぱす,35.735040,139.638449
薬王堂,39.729830,141.163175
ダックス,35.010567,135.756413
ドラッグイレブン,33.569169,130.424963
ドラッグイレブン,33.508850,130.470863
ZIP,34.501099,135.838033
ZIP,34.527374,135.952813
ツルハドラッグ,41.768912,140.709643
ドラッグ オゾン,35.783789,139.901477
ウェルパーク,35.587044,139.479180
welcia,35.753929,139.900399
ウェルシア,34.716331,135.245470
ふじや化粧品,35.782752,139.897090
マツモトキヨシ,35.869239,139.983939
サンドラッグ,35.875683,140.156673
ZIPドラッグ,34.490583,135.929212
セイジョー,35.626182,139.574310
スギ薬局,35.252152,136.979096
ココカラファイン,35.634348,139.711390
ココカラファイン,35.647878,139.623905
ツルハドラッグ,35.512834,139.412842
キリン堂,34.795241,134.612073
マツモトキヨシ,38.249089,140.328104
ツルハドラッグ,37.484484,139.927037
マツモトキヨシ,35.640005,139.599941
ココカラファイン,35.643907,139.608668
GENKY,35.144161,136.874813
マツモトキヨシ,35.704543,139.580312
マツモトキヨシ,35.705448,139.578219
サンドラッグ,35.565486,139.650230
ココカラファイン,37.864937,138.940254
サンドラッグ,35.697168,139.412676
サンドラッグ,35.850062,139.423776
トモズ,35.565302,139.651837
クスリのカツマタ,35.565482,139.651151
マツモトキヨシ,35.704277,139.578207
サンドラッグ,35.703837,139.579781
サンドラッグ,35.704358,139.578265
マツモトキヨシ,35.724305,139.614718
サンドラッグ,35.651508,139.536540
サンドラッグ,35.720983,139.428311
サンドラッグ,35.691331,139.428587
ウェルパーク,35.707637,139.435252
ココカラファイン,35.706904,139.649931
クスリのアオキ 泉が丘店,36.539781,136.647389
クスリのアオキ 長坂店,36.537579,136.655567
クスリのアオキ 伏見台店,36.534296,136.636634
ツルハドラッグ,35.659862,139.667206
サンドラッグ,35.617856,139.675997
セイジョー,35.653702,139.568138
ぱぱす,35.642165,139.657005
